Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01N02,Mosapride Citrate,-0.597707801,-0.901850479,0.304142678
SK01N03,JNJ-7706621,-1.000613923,-0.796259456,-0.204354467
SK01N04,Pizotifen Malate,-0.769222762,-0.690383165,-0.078839597
SK01N05,Ramelteon,-0.209232729,-0.5150876,0.305854871
SK01N06,Bimatoprost,-0.223126373,-0.571887278,0.348760905
SK01N07,Acarbose,-0.544517957,-0.652935994,0.108418037
SK01N08,Sildenafil Citrate,-4.747355329,-5.655057679,0.90770235
SK01N09,Asenapine,-4.779412356,-2.396238415,-2.383173941
SK01N10,Zileuton,-5.098802953,0.403672525,-5.502475477
SK01N11,Cilostazol,0.025612776,-0.399454879,0.425067655
SK01N12,Zibotentan (ZD4054),-0.254269543,-0.40836432,0.154094778
SK01N13,Ki16425,-0.569081465,-0.490738234,-0.078343231
SK01N14,Alfacalcidol,-0.316968861,-0.439279331,0.122310471
SK01N15,Fluconazole,-0.580808296,-0.338802687,-0.24200561
SK01N16,Zosuquidar (LY335979) 3HCl,1.383277182,1.536342728,-0.153065546
SK01N17,Ivermectin,-0.099586254,-0.406987039,0.307400785
SK01N18,PIK-93,-0.023522537,-0.05539179,0.031869253
SK01N19,MGCD-265,-0.507277955,-0.555552206,0.048274251
SK01N20,Alprostadil,-0.209677528,-0.494496791,0.284819263
SK01N21,Doripenem Hydrate,-0.237415166,-0.41572518,0.178310014
SK01N22,MK-1775,-0.39876965,-0.708881824,0.310112174
SK01N23,DMSO,-0.190862832,0.139701224,-0.330564057
SK01N24,DMSO,0.291397249,0.386627925,-0.095230676
SK01O01,Selumetinib (AZD6244),-0.292448678,-0.422783631,0.130334953
SK01O02,BMS-754807,-0.604650425,-0.927507911,0.322857486
SK01O03,PD184352 (CI-1040),-0.400984771,-0.738392867,0.337408096
SK01O04,ADL5859 HCl,-0.341469918,-0.556311253,0.214841335
SK01O05,Panobinostat (LBH589),-1.225928141,-1.45936308,0.23343494
SK01O06,Docetaxel,-0.711804012,-0.676238958,-0.035565055
SK01O07,Sorafenib Tosylate,-1.320839813,-1.089681935,-0.231157878
SK01O08,MK-8245,-0.499284163,-0.623973984,0.124689821
SK01O09,Y-27632 2HCl,-0.306997877,-0.422927917,0.11593004
SK01O10,TGX-221,-0.097110732,-0.165304509,0.068193777
SK01O11,Masitinib (AB1010),-0.439350728,-0.110207383,-0.329143346
SK01O12,PD98059,-0.270861889,-0.129957984,-0.140903905
